Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Approved,Public visible,Closed,Is_registered,Has_code
18742.0,Kiptome Dispensary (Belgut),Kiptome Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,0,4,kericho,Belgut,Belgut,Kabianga,Operational,False,False,True,False,True,True,False,False,True
18732.0,Kenya Assemblies of God Medical Clinic,Kenya Assemblies of God Medical Clinic,,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,meru,North Imenti,Imenti North,Municipality,Operational,False,False,False,False,True,True,False,False,True
18725.0,Pedo Dispensary,Pedo Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kisumu,Nyakach,Nyakach,Central Nyakach,Operational,False,False,True,False,True,True,False,False,True
18722.0,Radienya Dispensary,Radienya Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kisumu,Nyakach,Nyakach,South East Nyakach,Operational,False,False,True,False,True,True,False,False,True
18691.0,Mercy Mission Medical Dispensary,Mercy Mission Medical Dispensary,,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,2,0,2,makueni,Kilome,Kilome,Mukaa,Operational,False,False,False,False,True,True,False,False,True
18690.0,Maria Salus Infirmorum Dispensary,Maria Salus Infirmorum Dispensary,,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,3,0,3,makueni,Kilome,Kilome,Mukaa,Operational,False,False,True,False,True,True,False,False,True
18689.0,Kikule Dispensary,Kikule Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,1,1,machakos,Masinga,Masinga,Muthesya,Operational,False,False,False,False,True,True,False,False,True
18688.0,Menengai Crater Dispensary,Menengai Crater Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,nakuru,Bahati,Nakuru North,Kiamaina,Operational,False,False,False,False,True,True,False,False,True
18687.0,Kanzauwu Dispensary,Kanzauwu Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui East,Kitui East,Chuluni,Operational,False,False,False,False,True,True,False,False,True
18686.0,Ngelani Dispensary,Ngelani Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui East,Kitui East,Zombe/Mwitika,Operational,False,False,False,False,True,True,False,False,True
18684.0,Itiko Dispensary,Itiko Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui East,Kitui East,Mutitu/Kaliku,Operational,False,False,False,False,True,True,False,False,True
18683.0,Kikuu Dispensary,Kikuu Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui East,Kitui East,Zombe/Mwitika,Operational,False,False,False,False,True,True,False,False,True
18681.0,Makongo Dispensary,Makongo Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui East,Kitui East,Zombe/Mwitika,Operational,False,False,False,False,True,True,False,False,True
18680.0,Itangani Dispensary,Itangani Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui East,Kitui East,Mutitu/Kaliku,Operational,False,False,False,False,True,True,False,False,True
18679.0,Manyoeni Dispensary,Manyoeni Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui East,Kitui East,Mutitu/Kaliku,Operational,False,False,False,False,True,True,False,False,True
18678.0,Kiongwe Dispensary,Kiongwe Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui East,Kitui East,Nzambani,Operational,False,False,False,False,True,True,False,False,True
18677.0,Yoonye Dispensary,Yoonye Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui East,Kitui East,Mutitu/Kaliku,Operational,False,False,False,False,True,True,False,False,True
18676.0,Mastoo Dispensary,Mastoo Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,nyandarua,Ndaragwa,Ndaragwa,Shamata,Operational,False,False,False,False,True,True,False,False,True
18674.0,Kyaango Dispensary,Kyaango Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kitui,Kitui East,Kitui East,Voo/Kyamatu,Operational,False,False,False,False,True,True,False,False,True
18673.0,Muthungue Dispensary,Muthungue Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,1,kitui,Kitui East,Kitui East,Voo/Kyamatu,Operational,False,False,False,False,True,True,False,False,True
18670.0,Karimaini Community Dispensary,Karimaini Community Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kirinyaga,Ndia,Kirinyaga West,Mukure,Operational,False,False,False,False,True,True,False,False,True
18669.0,Eldoret Rapha Medical Centre,Eldoret Rapha Medical Centre,,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,0,uasin gishu,Moiben,Moiben,Kimumu,Operational,False,False,True,False,True,True,False,False,True
18668.0,Reinha Rosary Medical Clinic (Githunguri),Reinha Rosary Medical Clinic,,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,machakos,Mavoko,Athi River,Muthwani,Operational,False,False,True,False,True,True,False,False,True
18666.0,Bingwa Dispensary,Bingwa Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,bomet,Chepalungu,Chepalungu,Siongiroi,Operational,False,False,False,False,True,True,False,False,True
18665.0,Lelaitich Dispensary,Lelaitich Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,bomet,Chepalungu,Chepalungu,Sigor,Operational,False,False,False,False,True,True,False,False,True
18664.0,Koimiret Dispensary,Koimiret Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,bomet,Chepalungu,Chepalungu,Kong'asis,Operational,False,False,False,False,True,True,False,False,True
18662.0,Senate Health Services,Senate Health Services,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),0,0,0,nairobi,Embakasi North,Embakasi North,Dandora Area III,Operational,False,False,False,False,True,True,False,False,True
